Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
aid-em.owl;52;7;37;44;0.4583333333333333;0.21153846153846154;0.0;0.9423076923076923;0.9318181818181818;3.5520833333333335;38;0;0;0;39;0;10;0
call-for-proposal.owl;2;1;0;1;0.3333333333333333;1.0;1.0;1.0;1.0;4.0;2;0;0;0;1;0;0;0
electricity-markets-results.owl;7;3;6;9;0.5625;1.0;0.0;1.0;1.0;6.6875;13;0;1;13;6;1;4;0
ElectricityMarkets.owl;15;22;15;37;0.7115384615384616;1.0;0.0;1.0;1.0;4.423076923076923;36;0;2;1;19;3;10;0
em-kpi-1_1.owl;162;125;13;138;0.46;0.8209876543209876;0.9855072463768116;0.7592592592592593;0.9855072463768116;3.8766666666666665;42;84;78;3;44;32;94;0
EpexOntology.owl;8;0;4;4;0.3333333333333333;1.0;0.0;0.875;1.0;5.416666666666667;8;0;0;1;4;0;3;0
MibelOntology.owl;28;7;3;10;0.2631578947368421;0.6785714285714286;0.0;0.9285714285714286;1.0;4.131578947368421;23;0;0;4;2;1;5;0
NordPool.owl;9;1;7;8;0.47058823529411764;1.0;0.0;1.0;1.0;5.352941176470588;13;0;0;1;8;0;3;0
OEMA.owl;113;35;13;48;0.2981366459627329;0.1415929203539823;0.16666666666666666;0.7699115044247787;0.9166666666666666;2.875776397515528;0;23;23;2;3;0;37;2
saref4ener.ttl;151;100;80;180;0.5438066465256798;0.8145695364238411;1.0;0.8410596026490066;1.0;3.8398791540785497;93;92;159;0;0;0;1;40
SARGON.owl;158;54;60;114;0.41911764705882354;0.9556962025316456;1.0;0.9556962025316456;0.3157894736842105;4.834558823529412;11;0;4;4;0;0;175;37
DABGEO\1-common-domain layer\actor\Actor.owl;2;1;2;3;0.6;1.0;1.0;1.0;1.0;3.4;0;1;3;0;0;0;0;0
DABGEO\1-common-domain layer\buildingparameters\BuildingParameters.owl;2;1;0;1;0.3333333333333333;0.5;1.0;1.0;1.0;3.6666666666666665;0;1;1;0;0;0;1;0
DABGEO\1-common-domain layer\buildingstructure\BuildingStructure.owl;29;2;0;2;0.06451612903225806;0.9310344827586207;1.0;0.9655172413793104;1.0;2.096774193548387;0;1;1;0;0;0;0;0
