Ontology Source;Source Type;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions;Semantic Reuse Ratio
brick;python_package;1786;124;75;199;0.10025188916876575;0.9540873460246361;1.0;0.23852183650615902;0.964824120603015;6.774811083123426;0;1;4;30;0;0;0;0;0.18841309823677582
aid-em.owl;file;52;7;37;44;0.4583333333333333;0.21153846153846154;0.0;0.9423076923076923;0.9318181818181818;3.5520833333333335;38;0;0;0;39;0;10;0;0.020833333333333332
BOnSAI.owl;file;62;48;22;70;0.5303030303030303;0.25806451612903225;0.014285714285714285;0.8870967741935484;0.9285714285714286;3.5303030303030303;4;65;66;4;33;7;0;7;0.06060606060606061
call-for-proposal.owl;file;2;1;0;1;0.3333333333333333;1.0;1.0;1.0;1.0;4.0;2;0;0;0;1;0;0;0;0.0
DABGEO;subdirectory;2158;238;179;417;0.16194174757281554;0.8535681186283596;0.9421686746987952;0.8739573679332715;0.9903614457831326;4.098717450446949;439;251;309;16;9;2;479;99;0.9988340458608628
EEPSA;subdirectory;120;17;7;24;0.16666666666666666;0.8083333333333333;0.9166666666666666;0.8833333333333333;1.0;3.1527777777777777;0;22;20;0;4;0;38;0;0.3125
electricity-markets-results.owl;file;7;3;6;9;0.5625;1.0;0.0;1.0;1.0;6.6875;13;0;1;13;6;1;4;0;0.0
ElectricityMarkets.owl;file;15;22;15;37;0.7115384615384616;1.0;0.0;1.0;1.0;4.423076923076923;36;0;2;1;19;3;10;0;0.0
em-kpi-1_1.owl;file;162;125;13;138;0.46;0.8209876543209876;0.9855072463768116;0.7592592592592593;0.9855072463768116;3.8766666666666665;42;84;78;3;44;32;94;0;0.4633333333333333
EpexOntology.owl;file;8;0;4;4;0.3333333333333333;1.0;0.0;0.875;1.0;5.416666666666667;8;0;0;1;4;0;3;0;0.0
IEMS;subdirectory;33;6;30;36;0.5217391304347826;1.0;0.9722222222222222;0.5151515151515151;0.4444444444444444;2.550724637681159;0;36;36;0;0;0;0;0;0.0
IESO;subdirectory;453;261;79;340;0.4287515762925599;0.9492273730684326;1.0;0.9492273730684326;0.9911764705882353;4.295081967213115;230;170;196;4;104;12;118;78;0.029003783102143757
MibelOntology.owl;file;28;7;3;10;0.2631578947368421;0.6785714285714286;0.0;0.9285714285714286;1.0;4.131578947368421;23;0;0;4;2;1;5;0;0.39473684210526316
NordPool.owl;file;9;1;7;8;0.47058823529411764;1.0;0.0;1.0;1.0;5.352941176470588;13;0;0;1;8;0;3;0;0.0
OEMA;subdirectory;3205;690;502;1192;0.27109392767796225;0.2561622464898596;0.7105704697986577;0.8305772230889236;0.875;3.741869456447578;382;836;919;48;33;3;877;131;0.8103252217420969
OpenEnergyOntology;subdirectory;2386;167;9;176;0.06869633099141297;0.6370494551550713;0.9886363636363636;0.0;0.011363636363636364;8.294691647150664;8;144;135;44;0;0;2878;50;0.48243559718969553
saref4ener.ttl;file;151;100;80;180;0.5438066465256798;0.8145695364238411;1.0;0.8410596026490066;1.0;3.8398791540785497;93;92;159;0;0;0;1;40;0.08459214501510574
saref4grid.ttl;file;46;27;45;72;0.6101694915254238;0.9565217391304348;0.9444444444444444;1.0;1.0;4.1440677966101696;51;55;56;0;0;0;0;2;0.09322033898305085
SARGON.owl;file;158;54;60;114;0.41911764705882354;0.9556962025316456;1.0;0.9556962025316456;0.3157894736842105;4.834558823529412;11;0;4;4;0;0;175;37;0.5588235294117647
SEAS;subdirectory;549;292;7;299;0.35259433962264153;0.9963570127504554;0.9966555183946488;0.9963570127504554;0.8996655518394648;3.744103773584906;8;242;259;24;179;6;254;101;0.003537735849056604
SEMANCO.owl;file;921;419;358;777;0.4575971731448763;0.7046688382193268;0.0;0.12052117263843648;0.0978120978120978;4.074793875147232;0;358;357;0;357;0;888;0;0.002355712603062426
ThinkHome;subdirectory;2111;373;283;656;0.23707986989519336;0.26480341070582664;0.3475609756097561;0.502131691141639;0.9954268292682927;5.465847488254427;1332;372;551;39;36;3;1095;230;0.38814600650524034
