Column1;Column2;Column3;Column4
concept_id;label;definition;superclasses
OEO_00000001;fuel role;"A gasoline fuel role is a fuel role that expresses that a portion of matter can be used in a gasoline engine.
        

Editor note:
          The term gasoline was chosen as this term is more often used in energy modelling and energy statistics. This is a deliberate deviation from the convention of British English spelling in the OEO.
        









Back to the super classes:




        role
      


          view
        




Editor note:
        BFO 2 Reference: One major family of examples of non-rigid universals involves roles, and ontologies developed for corresponding administrative purposes may consist entirely of representatives of entities of this sort. Thus ‘professor’, defined as follows,b instance_of professor at t =Def. there is some c, c instance_of professor role & c inheres_in b at t.denotes a non-rigid universal and so also do ‘nurse’, ‘student’, ‘colonel’, ‘taxpayer’, and so forth. (These terms are all, in the jargon of philosophy, phase sortals.) By using role terms in definitions, we can create a BFO conformant treatment of such entities drawing on the fact that, while an instance of professor may be simultaneously an instance of trade union member, no instance of the type professor role is also (at any time) an instance of the type trade union member role (any more than any instance of the type color is at any time an instance of the type length).If an ontology of employment positions should be defined in terms of roles following the above pattern, this enables the ontology to do justice to the fact that individuals instantiate the corresponding universals –  professor, sergeant, nurse – only during certain phases in their lives.";
OEO_00000003;biofuel power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000004;biogas power plant;A biofuel power plant is a power plant that has biofuel power units as parts.;
OEO_00000005;biogas power unit;A biofuel power unit is a power generating unit using biofuel.;
OEO_00000006;carbon dioxide;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000007;chemical energy;Energy is a quality of material entities which manifests as a capacity to perform work (such as causing motion or the interaction of molecules);
OEO_00000008;coal power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000009;electric heat pump;A heat pump is a heater that transforms low temperature heat to high temperature heat using external energy.;
OEO_00000010;electro motive generator;A generator is an energy converting component that converts other forms of energy into electrical energy.;
OEO_00000011;energy converting component;An artificial object is an object that was deliberately manufactured by humans to address a particular purpose.;
OEO_00000012;energy storage function;An energy carrier disposition is a disposition of an material entity that contains energy for conversion as usable energy.;
OEO_00000013;fluorinated greenhouse gas;A greenhouse gas is a portion of matter that has the disposition to contribute to the greenhouse effect.;
OEO_00000014;fossil combustion fuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00000016;fuel cell;A generator is an energy converting component that converts other forms of energy into electrical energy.;
OEO_00000017;gas fired power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000019;geothermal power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000020;greenhouse gas;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000021;hard coal power unit;A coal power unit is a power generating unit using coal as fuel.;
OEO_00000022;hydrogen power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000024;lignite power unit;A coal power unit is a power generating unit using coal as fuel.;
OEO_00000025;methane;Hydrocarbon is a portion of matter which is member of class of organic chemical compounds composed only of the elements carbon (C) and hydrogen (H).;
OEO_00000026;nitrogen trifluoride;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000027;nitrous oxide;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000028;nuclear energy carrier disposition;An energy carrier disposition is a disposition of an material entity that contains energy for conversion as usable energy.;
OEO_00000029;nuclear power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000030;oil power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000031;power plant;An energy transformation unit is an artificial object that transforms, changes or transfers a certain type of energy.;
OEO_00000032;photovoltaic cell;A generator is an energy converting component that converts other forms of energy into electrical energy.;
OEO_00000033;renewable fuel;A fuel is a portion of matter that has the disposition to be an energy carrier and that has a fuel role.;
OEO_00000034;solar power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000035;solar thermal power unit;A solar power unit is a power generating unit using solar power.;
OEO_00000036;solid biomass power plant;A biofuel power plant is a power plant that has biofuel power units as parts.;
OEO_00000037;solid biomass power unit;A biofuel power unit is a power generating unit using biofuel.;
OEO_00000038;sulphur hexafluoride;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000039;thermal energy storage function;An energy storage function is the function of an artificial object that has been engineered to contain energy for later usage whereby input energy and usable output energy are of the same type.;
OEO_00000040;uranium;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00000041;waste power unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000042;waste role;"A waste role is a role of a material entity that has been discarded after primary use.






Back to the super classes:




        role
      


          view
        




Editor note:
        BFO 2 Reference: One major family of examples of non-rigid universals involves roles, and ontologies developed for corresponding administrative purposes may consist entirely of representatives of entities of this sort. Thus ‘professor’, defined as follows,b instance_of professor at t =Def. there is some c, c instance_of professor role & c inheres_in b at t.denotes a non-rigid universal and so also do ‘nurse’, ‘student’, ‘colonel’, ‘taxpayer’, and so forth. (These terms are all, in the jargon of philosophy, phase sortals.) By using role terms in definitions, we can create a BFO conformant treatment of such entities drawing on the fact that, while an instance of professor may be simultaneously an instance of trade union member, no instance of the type professor role is also (at any time) an instance of the type trade union member role (any more than any instance of the type color is at any time an instance of the type length).If an ontology of employment positions should be defined in terms of roles following the above pattern, this enables the ontology to do justice to the fact that individuals instantiate the corresponding universals –  professor, sergeant, nurse – only during certain phases in their lives.";
OEO_00000043;wind;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00000044;wind energy converting unit;A power generating unit is an energy transformation unit that has the function to produce electrical energy.;
OEO_00000045;producer;Agent is a role of a person or organisation that directs its activity towards achieving goals.;
OEO_00000047;AC-line;A power line is a grid component link that is an uninterrupted transmission system between two nodes in an electricity grid.;
OEO_00000048;acronym;An abbreviation is a symbol of a textual entity.;
OEO_00000051;agent;"A user is an agent that employs an aid, tool or information system to achieve a goal/benefit.
        








Back to the super classes:




        role
      


          view
        




Editor note:
        BFO 2 Reference: One major family of examples of non-rigid universals involves roles, and ontologies developed for corresponding administrative purposes may consist entirely of representatives of entities of this sort. Thus ‘professor’, defined as follows,b instance_of professor at t =Def. there is some c, c instance_of professor role & c inheres_in b at t.denotes a non-rigid universal and so also do ‘nurse’, ‘student’, ‘colonel’, ‘taxpayer’, and so forth. (These terms are all, in the jargon of philosophy, phase sortals.) By using role terms in definitions, we can create a BFO conformant treatment of such entities drawing on the fact that, while an instance of professor may be simultaneously an instance of trade union member, no instance of the type professor role is also (at any time) an instance of the type trade union member role (any more than any instance of the type color is at any time an instance of the type length).If an ontology of employment positions should be defined in terms of roles following the above pattern, this enables the ontology to do justice to the fact that individuals instantiate the corresponding universals –  professor, sergeant, nurse – only during certain phases in their lives.";
OEO_00000054;air;A gas mixture is a portion of matter that is a composition of different kinds of portions of matter and that has a gaseous normal state of matter.;
