Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Class/Property Ratio;Subclass Relationships;Max Depth of Inheritance;Relationship Richness;Class Label Coverage;Class Comment Coverage;Property Label Coverage;Property Comment Coverage;Class Documentation Coverage;Property Documentation Coverage;Cardinality Restrictions;Properties with Domain;Properties with Range;Domain Coverage (%);Range Coverage (%);Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
aid-em.owl;52;7;37;44;1.1818181818181819;95;3;0.4583333333333333;0.0;0.21153846153846154;0.0;0.0;0.21153846153846154;0.0;38;0;0;0.0;0.0;0;39;0;10;0
call-for-proposal.owl;2;1;0;1;2.0;2;0;0.3333333333333333;0.0;1.0;0.0;1.0;1.0;1.0;2;0;0;0.0;0.0;0;1;0;0;0
electricity-markets-results.owl;7;3;6;9;0.7777777777777778;22;2;0.5625;0.0;1.0;0.0;0.0;1.0;0.0;13;0;1;0.0;0.1111111111111111;13;6;1;4;0
ElectricityMarkets.owl;15;22;15;37;0.40540540540540543;49;2;0.7115384615384616;0.0;1.0;0.0;0.0;1.0;0.0;36;0;2;0.0;0.05405405405405406;1;19;3;10;0
em-kpi-1_1.owl;162;125;13;138;1.173913043478261;225;6;0.46;0.8209876543209876;0.7160493827160493;0.9855072463768116;0.5289855072463768;0.8209876543209876;0.9855072463768116;42;84;78;0.6086956521739131;0.5652173913043478;3;44;32;94;0
EpexOntology.owl;8;0;4;4;2.0;21;0;0.3333333333333333;0.0;1.0;0.0;0.0;1.0;0.0;8;0;0;0.0;0.0;1;4;0;3;0
MibelOntology.owl;28;7;3;10;2.8;46;2;0.2631578947368421;0.0;0.6785714285714286;0.0;0.0;0.6785714285714286;0.0;23;0;0;0.0;0.0;4;2;1;5;0
NordPool.owl;9;1;7;8;1.125;27;2;0.47058823529411764;0.0;1.0;0.0;0.0;1.0;0.0;13;0;0;0.0;0.0;1;8;0;3;0
OEMA.owl;113;35;13;48;2.3541666666666665;90;3;0.2981366459627329;0.04424778761061947;0.13274336283185842;0.0;0.16666666666666666;0.1415929203539823;0.16666666666666666;0;23;23;0.4791666666666667;0.4791666666666667;2;3;0;37;2
saref4ener.ttl;151;100;80;180;0.8388888888888889;242;4;0.5438066465256798;0.8145695364238411;0.8145695364238411;1.0;1.0;0.8145695364238411;1.0;93;92;159;0.5111111111111111;0.8833333333333333;0;0;0;1;40
SARGON.owl;158;54;60;114;1.3859649122807018;404;6;0.41911764705882354;0.9556962025316456;0.5886075949367089;1.0;0.32456140350877194;0.9556962025316456;1.0;11;0;4;0.0;0.03508771929824561;4;0;0;175;37
DABGEO\1-common-domain layer\actor\Actor.owl;2;1;2;3;0.6666666666666666;0;0;0.6;1.0;1.0;1.0;1.0;1.0;1.0;0;1;3;0.3333333333333333;1.0;0;0;0;0;0
DABGEO\1-common-domain layer\buildingparameters\BuildingParameters.owl;2;1;0;1;2.0;1;0;0.3333333333333333;0.5;0.5;1.0;1.0;0.5;1.0;0;1;1;1.0;1.0;0;0;0;1;0
DABGEO\1-common-domain layer\buildingstructure\BuildingStructure.owl;29;2;0;2;14.5;27;4;0.06451612903225806;0.9310344827586207;0.9310344827586207;1.0;1.0;0.9310344827586207;1.0;0;1;1;0.5;0.5;0;0;0;0;0
DABGEO\1-common-domain layer\ders\DERs.owl;12;0;0;0;0.0;12;3;0.0;0.9166666666666666;0.9166666666666666;0.0;0.0;1.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0
DABGEO\1-common-domain layer\device\Device.owl;2;1;2;3;0.6666666666666666;0;0;0.6;0.5;0.5;0.3333333333333333;0.3333333333333333;0.5;0.3333333333333333;0;1;1;0.3333333333333333;0.3333333333333333;0;0;0;0;0
DABGEO\1-common-domain layer\deviceoperation\DeviceOperation.owl;8;12;0;12;0.6666666666666666;5;2;0.6;0.875;1.0;1.0;0.8333333333333334;1.0;1.0;0;5;5;0.4166666666666667;0.4166666666666667;0;0;0;0;0
DABGEO\1-common-domain layer\energyconsumptionsystems\EnergyConsumptionSystems.owl;56;1;1;2;28.0;55;6;0.034482758620689655;0.9821428571428571;0.9642857142857143;0.0;0.0;0.9821428571428571;0.0;0;0;0;0.0;0.0;0;0;0;0;0
DABGEO\1-common-domain layer\energymarketroles\EnergyMarketRoles.owl;3;2;0;2;1.5;2;3;0.4;1.0;1.0;1.0;1.0;1.0;1.0;0;1;1;0.5;0.5;0;0;0;0;0
DABGEO\1-common-domain layer\energyparameter\EnergyParameter.owl;4;2;1;3;1.3333333333333333;1;0;0.42857142857142855;0.25;0.25;0.6666666666666666;0.6666666666666666;0.25;0.6666666666666666;1;1;1;0.3333333333333333;0.3333333333333333;0;0;0;0;0
DABGEO\1-common-domain layer\energyusage\EnergyUsage.owl;62;5;3;8;7.75;42;6;0.11428571428571428;0.7580645161290323;0.7580645161290323;0.375;0.25;0.7741935483870968;0.375;0;0;0;0.0;0.0;2;0;0;2;0
DABGEO\1-common-domain layer\environmentalfactors\EnvironmentalFactors.owl;6;1;0;1;6.0;2;2;0.14285714285714285;0.16666666666666666;0.16666666666666666;1.0;1.0;0.16666666666666666;1.0;1;0;1;0.0;1.0;0;0;0;0;0
DABGEO\1-common-domain layer\externalfactors\ExternalFactors.owl;1;0;0;0;0.0;0;0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0
DABGEO\1-common-domain layer\geometricalparameters\BuildingGeometricalParameters.owl;93;8;7;15;6.2;106;5;0.1388888888888889;0.8494623655913979;0.7956989247311828;0.8666666666666667;0.6666666666666666;0.8924731182795699;0.8666666666666667;21;7;11;0.4666666666666667;0.7333333333333333;0;1;0;11;0
DABGEO\1-common-domain layer\infrastructure\Infrastructure.owl;77;2;1;3;25.666666666666668;74;4;0.0375;0.961038961038961;0.961038961038961;1.0;1.0;0.987012987012987;1.0;0;2;2;0.6666666666666666;0.6666666666666666;0;0;0;0;0
