Ontology Source;Source Type;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Class/Property Ratio;Subclass Relationships;Max Depth of Inheritance;Relationship Richness;Class Label Coverage;Class Comment Coverage;Property Label Coverage;Property Comment Coverage;Class Documentation Coverage;Property Documentation Coverage;Cardinality Restrictions;Properties with Domain;Properties with Range;Domain Coverage (%);Range Coverage (%);Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
aid-em.owl;file;52;7;37;44;1.1818181818181819;95;3;0.4583333333333333;0.0;0.21153846153846154;0.0;0.0;0.21153846153846154;0.0;38;0;0;0.0;0.0;0;39;0;10;0
call-for-proposal.owl;file;2;1;0;1;2.0;2;0;0.3333333333333333;0.0;1.0;0.0;1.0;1.0;1.0;2;0;0;0.0;0.0;0;1;0;0;0
DABGEO;subdirectory;2193;240;179;419;5.233890214797136;3049;9;0.1604134762633997;0.8404012767897857;0.5544915640674875;0.918854415274463;0.8345323741007195;0.8559051527587779;0.9424460431654677;439;252;310;0.6014319809069213;0.7398568019093079;16;9;2;479;99
electricity-markets-results.owl;file;7;3;6;9;0.7777777777777778;22;2;0.5625;0.0;1.0;0.0;0.0;1.0;0.0;13;0;1;0.0;0.1111111111111111;13;6;1;4;0
ElectricityMarkets.owl;file;15;22;15;37;0.40540540540540543;49;2;0.7115384615384616;0.0;1.0;0.0;0.0;1.0;0.0;36;0;2;0.0;0.05405405405405406;1;19;3;10;0
em-kpi-1_1.owl;file;162;125;13;138;1.173913043478261;225;6;0.46;0.8209876543209876;0.7160493827160493;0.9855072463768116;0.5289855072463768;0.8209876543209876;0.9855072463768116;42;84;78;0.6086956521739131;0.5652173913043478;3;44;32;94;0
EpexOntology.owl;file;8;0;4;4;2.0;21;0;0.3333333333333333;0.0;1.0;0.0;0.0;1.0;0.0;8;0;0;0.0;0.0;1;4;0;3;0
IEMS;subdirectory;33;6;30;36;0.9166666666666666;29;3;0.5217391304347826;0.030303030303030304;1.0;0.2777777777777778;0.9722222222222222;1.0;0.9722222222222222;0;36;36;1.0;1.0;0;0;0;0;0
IESO;subdirectory;453;261;79;340;1.3323529411764705;843;4;0.4287515762925599;0.9492273730684326;0.9492273730684326;0.9941176470588236;1.0;0.9492273730684326;1.0;230;170;196;0.5;0.5764705882352941;4;104;12;118;78
MibelOntology.owl;file;28;7;3;10;2.8;46;2;0.2631578947368421;0.0;0.6785714285714286;0.0;0.0;0.6785714285714286;0.0;23;0;0;0.0;0.0;4;2;1;5;0
NordPool.owl;file;9;1;7;8;1.125;27;2;0.47058823529411764;0.0;1.0;0.0;0.0;1.0;0.0;13;0;0;0.0;0.0;1;8;0;3;0
OEMA.owl;file;113;35;13;48;2.3541666666666665;90;3;0.2981366459627329;0.04424778761061947;0.13274336283185842;0.0;0.16666666666666666;0.1415929203539823;0.16666666666666666;0;23;23;0.4791666666666667;0.4791666666666667;2;3;0;37;2
OpenEnergyOntology;subdirectory;1953;167;9;176;11.096590909090908;2637;12;0.08266791921089714;0.778289810547875;0.02816180235535074;0.9886363636363636;0.13068181818181818;0.778289810547875;0.9886363636363636;4;116;112;0.6590909090909091;0.6363636363636364;44;0;0;1439;25
saref4ener.ttl;file;151;100;80;180;0.8388888888888889;242;4;0.5438066465256798;0.8145695364238411;0.8145695364238411;1.0;1.0;0.8145695364238411;1.0;93;92;159;0.5111111111111111;0.8833333333333333;0;0;0;1;40
SARGON.owl;file;158;54;60;114;1.3859649122807018;404;6;0.41911764705882354;0.9556962025316456;0.5886075949367089;1.0;0.32456140350877194;0.9556962025316456;1.0;11;0;4;0.0;0.03508771929824561;4;0;0;175;37
SEAS;subdirectory;549;292;7;299;1.8361204013377928;816;11;0.35259433962264153;0.9963570127504554;0.994535519125683;0.9933110367892977;0.9665551839464883;0.9963570127504554;0.9966555183946488;8;242;259;0.8093645484949833;0.8662207357859532;24;179;6;254;101
ThinkHome;subdirectory;2111;373;283;656;3.2179878048780486;2248;7;0.23707986989519336;0.15727143533870203;0.24680246328754146;0.10518292682926829;0.33384146341463417;0.26480341070582664;0.3475609756097561;1332;372;551;0.5670731707317073;0.8399390243902439;39;36;3;1095;230
